,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset
65,,11.0,11.0,2021-05-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,5672.0,309.0,,,,,,,,,,,,,,,,,,11.0,8.0,0.0,0.0,0.0,0.0,0.1,5.0,1.0,0.8,-0.5,0.84,,,,,,,,,,,66.5,55.4,,,,44.3,,,4.52,,,6.0,308.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,138.0,127.0,2021-06-30T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,5734.0,63.0,,,,,,,,,,,,,,,,,,10.0,7.0,0.0,1.0,0.0,0.0,2.5,61.0,-17.0,2.9,2.3,-2.56,,,,,,,,,,,77.6,67.1,,,,56.7,,,1.55,,,66.0,80.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,298.0,159.0,2021-07-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,,,,,,,,,,,,,,,,,,15.0,8.0,0.0,0.0,0.0,0.0,-0.3,-2.0,7.0,-1.9,1.4,1.21,,,,,,,,,,,77.9,69.5,,,,61.2,,,4.70,,,161.0,12.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,523.0,225.0,2021-08-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,25.0,6.0,,,,,,,,,,,,,,,,,,10.0,9.0,0.0,1.0,0.0,0.0,3.1,84.0,-15.0,1.8,4.5,1.27,,,,,,,,,,,80.6,72.0,,,,63.5,,,5.61,,,141.0,21.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,583.0,61.0,2021-09-30T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,89.0,64.0,,,,,,,,,,,,,,,,,,10.0,8.0,0.0,0.0,0.0,0.0,3.3,26.0,-73.0,1.9,4.6,4.51,,,,,,,,,,,73.9,64.9,,,,55.8,,,8.52,,,35.0,137.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,584.0,0.0,2021-10-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,335.0,246.0,,,,,,,,,,,,,,,,,,11.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.0,-192.0,4.2,7.8,0.69,,,,,,,,,,,66.2,57.1,,,,47.9,,,4.99,,,5.0,438.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,584.0,0.0,2021-11-30T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,1029.0,694.0,,,,,,,,,,,,,,,,,,7.0,4.0,22.0,0.0,0.0,0.0,-1.2,0.0,11.0,0.2,-2.6,-2.99,,,,,,,,,,,52.6,41.1,,,,29.5,,,1.79,,,-7777.0,683.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,584.0,0.0,2021-12-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,1879.0,850.0,,,,,,,,,,,,,,,,,,17.0,5.0,23.0,0.0,0.0,1.0,4.8,0.0,-148.0,4.3,5.3,-2.92,,,,,,,,,,,46.0,37.6,,,,29.2,,,1.78,,,0.0,998.0,,SOM  ,SOM  ,I,I,99999954797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,7.8,0.0,0.0,2021-01-31T23:59:00,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2496.0,856.0,,,,,,,,,,,,,,,,,,3.0,0.0,27.0,0.0,0.0,0.0,0.9,0.0,-29.0,2.1,-0.4,-0.2,,0.17,25-26,2,26.0,1.4,26-26,30.5,27.0,1136.0,48.9,37.3,29.57,24.0,1452.0,25.7,30.13,24.78,0.18,2.3,,0.0,885.0,SOM799PCP MTOT:0.18 PCP GT 24HRS:0.17 DATE(S):25-26 DAYS W/PCP >=.01:3  DAYS W/PCP >=.10:0  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.03  25/2344 MIN:10 0.04  25/2350 MIN:15 0.06  25/2354 MIN:20 0.07  25/2358 MIN:30 0.08  26/0010 MIN:45 0.11  26/0016 MIN:60 0.12  26/0016 MIN:80 0.12  26/0016 MIN:100 0.12  26/0016 MIN:120 0.12  26/0016 MIN:150 0.12  26/0016 MIN:180 0.12  26/0016 AVG DLY MIN:25.7  AVG DLY MAX:48.9  AVG MLY TMP:37.3  MIN TMP:14 DATE(S):27 MAX TMP:57  DATE(S):17 16 05 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:27 DAYS MIN  <=0:0  AVG STP:24.780 LWST SLP:29.55 DATE/TIME:241323 HGST SLP:30.50 DATE/TIME:271136 HDD MTH TOT:850 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2468 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6,6,72365023050.0,2021-01-25 23:44,2021-01-25 23:50,2021-01-25 23:54,2021-01-25 23:58,2021-01-26 00:10,2021-01-26 00:16,2021-01-26 00:16,2021-01-26 00:16,2021-01-26 00:16,2021-01-26 00:16,2021-01-26 00:16,2021-01-26 00:16,0.03,0.04,0.06,0.07,0.08,0.11,0.12,0.12,0.12,0.12,0.12,0.12,,
74,8.7,0.0,0.0,2021-02-28T23:59:00,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,3183.0,687.0,,,,,,,,,,,,,,,,,,5.0,2.0,20.0,0.0,0.0,2.0,-1.0,0.0,26.0,0.3,-2.3,-0.06,,0.18,13-14,1,18.0,2.2,18-18,30.43,1.0,856.0,52.8,40.4,29.44,13.0,1752.0,28.0,29.97,24.68,0.42,6.5,,0.0,661.0,SOM793PCP MTOT:0.42 PCP GT 24HRS:0.18 DATE(S):13-14 DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:2  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.03  13/1841 MIN:10 0.03  16/1519 MIN:15 0.03  18/0544 MIN:20 0.04  18/0544 MIN:30 0.05  16/0546 MIN:45 0.07  16/0546 MIN:60 0.09  16/0546 MIN:80 0.10  16/0608 MIN:100 0.11  16/0608 MIN:120 0.12  16/0632 MIN:150 0.12  16/0632 MIN:180 0.12  16/0632 AVG DLY MIN:28.0  AVG DLY MAX:52.8  AVG MLY TMP:40.4  MIN TMP:7  DATE(S):14 MAX TMP:67  DATE(S):08 DAYS MAX <=32:2 DAYS MAX >=90:0  DAYS MIN <=32:20 DAYS MIN  <=0:0  AVG STP:24.680 LWST SLP:29.43 DATE/TIME:131743 HGST SLP:30.43 DATE/TIME:010856 HDD MTH TOT:682 DEP NORM:-2553 SEASON(JUL 1-JUN 30):3150 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6,6,72365023050.0,2021-02-13 18:41,2021-02-16 15:19,2021-02-18 05:44,2021-02-18 05:44,2021-02-16 05:46,2021-02-16 05:46,2021-02-16 05:46,2021-02-16 06:08,2021-02-16 06:08,2021-02-16 06:32,2021-02-16 06:32,2021-02-16 06:32,0.03,0.03,0.03,0.04,0.05,0.07,0.09,0.1,0.11,0.12,0.12,0.12,,
